CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
10092	BIOL	101	04	H	4.000	Concepts/Apps in Biolo	MWF	12:30 pm-01:20 pm	80	13	Miranda Lynette McManus (P)	08/25-12/16	HWWE 217	 
10093	BIOL	101	05	H	4.000	Concepts and Applications in Biology I	MWF	12:30 pm-01:20 pm	80	4	Heather Nicole Pritchard (P)	08/25-12/16	HWWE 213	 
10094	BIOL	101	06	H	4.000	Concepts and Applications in Biology I	TR	03:30 pm-04:45 pm	40	0	William A Roumillat (P)	08/25-12/16	HWWE 213	 
10095	BIOL	101	07	H	4.000	Concepts and Applications in Biology I	TR	07:00 pm-08:15 pm	80	41	Lauren Hernandez-Rubio Senn (P)	08/25-12/16	HWWE 213	 
10097	BIOL	101L	05	M	0.000	Concepts and Application in Biology I Laboratory	M	01:30 pm-04:29 pm	24	7	John S Peters (P), Elizabeth Underwood	08/25-12/16	LCTR 339	 
10107	BIOL	101L	07	M	0.000	Concepts and Application in Biology I Laboratory	M	04:30 pm-07:29 pm	24	3	John S Peters (P), Rachel Renee Leads	08/25-12/16	LCTR 339	 
10108	BIOL	101L	09	M	0.000	Concepts and Application in Biology I Laboratory	M	07:30 pm-10:29 pm	0	0	John S Peters (P)	08/25-12/16	LCTR 339	 
10098	BIOL	101L	11	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 am-10:29 am	24	10	John S Peters (P), Jonathan Andrew Cauthen	08/25-12/16	LCTR 339	 
10099	BIOL	101L	13	M	0.000	Concepts and Application in Biology I Laboratory	T	10:30 am-01:29 pm	24	1	John S Peters (P), Jonathan Andrew Cauthen	08/25-12/16	LCTR 339	 
10100	BIOL	101L	15	M	0.000	Concepts and Application in Biology I Laboratory	T	01:30 pm-04:29 pm	24	3	John S Peters (P), Aaron James-Howe Burnham	08/25-12/16	LCTR 339	 
10110	BIOL	101L	19	M	0.000	Concepts and Application in Biology I Laboratory	T	07:30 pm-10:29 pm	24	14	John S Peters (P), Rachel Renee Leads	08/25-12/16	LCTR 339	 
10102	BIOL	101L	23	M	0.000	Concepts and Application in Biology I Laboratory	W	10:30 am-01:29 pm	0	0	John S Peters (P)	08/25-12/16	LCTR 339	 
10101	BIOL	101L	25	M	0.000	Concepts and Application in Biology I Laboratory	W	01:30 pm-04:29 pm	24	11	Elizabeth Underwood (P), John S Peters	08/25-12/16	LCTR 339	 
10111	BIOL	101L	27	M	0.000	Concepts and Application in Biology I Laboratory	W	04:30 pm-07:29 pm	24	1	Aaron James-Howe Burnham (P), John S Peters	08/25-12/16	LCTR 339	 
10103	BIOL	101L	29	M	0.000	Concepts and Application in Biology I Laboratory	W	07:30 pm-10:29 pm	24	6	John S Peters (P), Rachel Renee Leads	08/25-12/16	LCTR 339	 
10105	BIOL	101L	33	M	0.000	Concepts and Application in Biology I Laboratory	R	10:30 am-01:29 pm	24	5	John S Peters (P), Jonathan Andrew Cauthen	08/25-12/16	LCTR 339	 
10106	BIOL	101L	35	M	0.000	Concepts and Application in Biology I Laboratory	R	01:30 pm-04:29 pm	24	1	John S Peters (P), Rachel Grey	08/25-12/16	LCTR 339	 
11961	BIOL	101L	37	M	0.000	Concepts and Application in Biology I Laboratory	R	04:30 pm-07:29 pm	24	4	John S Peters (P), Rachel Grey	08/25-12/16	LCTR 339	 
