CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Title 	Days 	Time 	Cap 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
10084 	BIOL 	101 	04 	H 	4.000 	Concepts/Apps in Biolo 	MWF 	09:30 am-10:20 am 	65 	16 	Bridget Joan Piculell (P) 	08/22-12/13 	HWWE 213 	 
10085 	BIOL 	101 	05 	H 	4.000 	Concepts/Apps in Biology I 	MWF 	04:30 pm-05:20 pm 	65 	57 	Bridget Joan Piculell (P) 	08/22-12/13 	HWWE 213 	 
10086 	BIOL 	101 	06 	H 	4.000 	Concepts/Apps in Biology I 	TR 	11:20 am-12:35 pm 	30 	7 	Miranda Lynette McManus (P) 	08/22-12/13 	HWWE 307 	 
10087 	BIOL 	101 	07 	M 	4.000 	Concepts/Apps in Biology I 	TR 	03:05 pm-04:20 pm 	65 	23 	Heather Nicole Pritchard (P) 	08/22-12/13 	SSMB 129 	 
10088 	BIOL 	101L 	05 	M 	0.000 	Concepts/Apps in Biology I Lab 	M 	01:30 pm-04:30 pm 	12 	0 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
10097 	BIOL 	101L 	07 	M 	0.000 	Concepts/Apps in Biology I Lab 	M 	04:30 pm-07:30 pm 	12 	0 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
10098 	BIOL 	101L 	09 	M 	0.000 	Concepts/Apps in Biology I Lab 	M 	07:30 pm-10:30 pm 	12 	6 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
10089 	BIOL 	101L 	11 	M 	0.000 	Concepts/Apps in Biology I Lab 	T 	07:30 am-10:30 am 	12 	5 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
10090 	BIOL 	101L 	13 	M 	0.000 	Concepts/Apps in Biology I Lab 	T 	10:30 am-01:30 pm 	12 	1 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
10091 	BIOL 	101L 	15 	M 	0.000 	Concepts/Apps in Biology I Lab 	T 	01:30 pm-04:30 pm 	12 	1 	John S Peters (P), Brian G Scholtens 	08/22-12/13 	LCTR 339 	 
