CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
20192	BIOL	101	01	M	4.000	Concepts/Apps in Biology I	MWF	08:00 am-08:50 am	40	13	Jennifer Ann Schepp (P)	01/10-05/04	RHSC 218	 
20193	BIOL	101	02	M	4.000	Concepts/Apps in Biology I	MWF	09:00 am-09:50 am	40	2	Miranda Lynette McManus (P)	01/10-05/04	RHSC 218	 
20194	BIOL	101	03	M	4.000	Concepts/Apps in Biology I	TR	08:00 am-09:15 am	40	0	Jennifer Ann Schepp (P)	01/10-05/04	NSCB 138	 
20195	BIOL	101	04	M	4.000	Concepts/Apps in Biology I	MWF	11:00 am-11:50 am	40	3	Miranda Lynette McManus (P)	01/10-05/04	RHSC 218	 
20196	BIOL	101	05	M	4.000	Concepts/Apps in Biology I	MW	07:00 pm-08:15 pm	40	17	Kaustubha Ratan Qanungo (P)	01/10-05/04	RHSC 239	 
20197	BIOL	101L	01	M	0.000	Concepts/Apps in Biology I Lab	M	01:30 pm-04:30 pm	24	1	Brian G Scholtens (P), Timothy Patrick O'Donnell	01/10-05/04	LCTR 339	 
20198	BIOL	101L	02	M	0.000	Concepts/Apps in Biology I Lab	T	01:35 pm-04:30 pm	24	-1	Brian G Scholtens (P), Ashley Lynne Shaw	01/10-05/04	LCTR 339	 
20199	BIOL	101L	03	M	0.000	Concepts/Apps in Biology I Lab	W	01:30 pm-04:30 pm	24	4	Brian G Scholtens (P), Carly Erin Altizer	01/10-05/04	LCTR 339	 
20200	BIOL	101L	04	M	0.000	Concepts/Apps in Biology I Lab	M	04:30 pm-07:30 pm	24	1	Brian G Scholtens (P), Timothy Patrick O'Donnell	01/10-05/04	LCTR 339	 
20201	BIOL	101L	05	M	0.000	Concepts/Apps in Biology I Lab	M	07:30 pm-10:30 pm	24	7	Brian G Scholtens (P), Carly Erin Altizer	01/10-05/04	LCTR 339	 
