CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Rem	Instructor	Date (MM/DD)	Location	Attribute
23537	EVSS	601	01	M	3.000	Economic Theory for Policy Analysis	M	05:30 pm-08:15 pm	30	16	Richard A Bilas (P)	01/09-05/03	BCTR 212	 
20696	EVSS	602	01	M	3.000	Public Policy	TR	01:40 pm-02:55 pm	14	4	Lindeke S Mills (P)	01/09-05/03	RSS 249	 
20697	EVSS	607	01	M	3.000	Administrative Law	MW	04:00 pm-05:15 pm	8	5	Lindeke S Mills (P)	01/09-05/03	MYBK 103	 
20700	EVSS	630	01	M	3.000	Natural Resources Law and Policy	TR	04:00 pm-05:15 pm	15	4	Lindeke S Mills (P)	01/09-05/03	RSS 249	 
22308	EVSS	632	01	M	3.000	Social Science Methods in Environmental Studies	W	05:30 pm-08:15 pm	18	-4	Annette M Watson (P)	01/09-05/03	MYBK 220	 
22265	EVSS	638	01	M	4.000	Introduction to Hydrogeology	W	11:00 am-02:00 pm	8	3	Timothy J Callahan (P)	01/09-05/03	SSMB 239	 
22266	EVSS	638L	01	M	0.000	Introduction to Hydrogeology	F	11:00 am-02:00 pm	8	3	Timothy J Callahan (P)	01/09-05/03	RHSC 341	 
23679	EVSS	640	01	M	3.000	Earth System Science	MWF	09:00 am-09:50 am	20	17	Vijay M Vulava (P)	01/09-05/03	RHSC 344	 
22263	EVSS	642	01	M	4.000	Geological Applications of Remote Sensing	M	12:00 pm-02:00 pm	6	4	David John Chadwick (P)	01/09-05/03	SSMB 241	 
22264	EVSS	642L	01	M	0.000	Geological Applications of Remote Sensing	W	12:00 pm-04:00 pm	6	4	David John Chadwick (P)	01/09-05/03	SSMB 241	 
20701	EVSS	646	01	M	2.000	Graduate Core Seminar	T	05:30 pm-07:20 pm	15	1	Timothy J Callahan (P), Pamela Susan Lovelace	01/09-05/03	SSMB 140	 
 	 	 	 	 	 	 	T	05:30 pm-07:20 pm	 	 	Timothy J Callahan (P), Pamela Susan Lovelace	01/09-05/03	SSMB 140	 
20702	EVSS	649	01	M	4.000	Geographic Information Systems	T	02:00 pm-05:00 pm	8	3	Khalid A Ali (P)	01/09-05/03	SSMB 241	 
20703	EVSS	649L	01	M	0.000	Geographic Information Systems	R	02:00 pm-05:00 pm	8	3	Khalid A Ali (P)	01/09-05/03	SSMB 241	 
20704	EVSS	650	01	M	3.000	Energy Production and Resources Management	MW	04:00 pm-05:15 pm	15	9	James E Neff (P)	01/09-05/03	RHSC 125	 
20705	EVSS	659	01	M	3.000	Environmental Statistics	TR	07:30 pm-08:45 pm	25	-1	Martin L Jones (P)	01/09-05/03	MYBK 219	 
