CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Title 	Days 	Time 	Cap 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
20105 	BIOL 	101 	01 	H 	4.000 	Concepts/Apps in Biology I 	TR 	08:30 am-09:45 am 	65 	23 	TBA 	01/08-05/02 	HWWE 213 	 
20106 	BIOL 	101 	02 	H 	4.000 	Concepts/Apps in Biology I 	TR 	12:45 pm-02:00 pm 	65 	0 	TBA 	01/08-05/02 	HWWE 213 	 
20110 	BIOL 	101L 	05 	M 	0.000 	Concepts/Apps in Biology I Lab 	M 	01:30 pm-04:30 pm 	24 	0 	Brian G Scholtens (P) 	01/08-05/02 	LCTR 339 	 
20108 	BIOL 	101L 	07 	M 	0.000 	Concepts/Apps in Biology I Lab 	M 	04:30 pm-07:30 pm 	24 	8 	Brian G Scholtens (P), John S Peters 	01/08-05/02 	LCTR 339 	 
21370 	BIOL 	101L 	17 	M 	0.000 	Concepts/Apps in Biology I Lab 	T 	04:30 pm-07:30 pm 	24 	0 	Brian G Scholtens (P), John S Peters 	01/08-05/02 	LCTR 339 	 
20111 	BIOL 	101L 	19 	M 	0.000 	Concepts/Apps in Biology I Lab 	T 	07:30 pm-10:30 pm 	24 	18 	Brian G Scholtens (P), John S Peters 	01/08-05/02 	LCTR 339 	 
20112 	BIOL 	101L 	25 	M 	0.000 	Concepts/Apps in Biology I Lab 	W 	01:30 pm-04:30 pm 	24 	6 	Brian G Scholtens (P), John S Peters 	01/08-05/02 	LCTR 339 	 
20109 	BIOL 	101L 	27 	M 	0.000 	Concepts/Apps in Biology I Lab 	W 	04:30 pm-07:30 pm 	24 	8 	Brian G Scholtens (P), John S Peters 	01/08-05/02 	LCTR 339 	 
20113 	BIOL 	102 	03 	H 	4.000 	Concepts/Apps in Biology II 	TR 	05:00 pm-06:15 pm 	71 	13 	TBA 	01/08-05/02 	HWWE 213 	 
20114 	BIOL 	102 	04 	M 	4.000 	Concepts/Apps in Biology II 	TR 	03:05 pm-04:20 pm 	120 	0 	TBA 	01/08-05/02 	SSMB 129 	 
20115 	BIOL 	102 	05 	H 	4.000 	Concepts/Apps in Biology II 	MWF 	09:30 am-10:20 am 	73 	0 	TBA 	01/08-05/02 	HWWE 213 	 
20116 	BIOL 	102L 	03 	M 	0.000 	Concepts/Apps in Biol II Lab 	M 	10:30 am-01:30 pm 	24 	0 	John S Peters (P), Brian G Scholtens 	01/08-05/02 	LCTR 341 	 
20117 	BIOL 	102L 	05 	M 	0.000 	Concepts/Apps in Biol II Lab 	M 	01:30 pm-04:30 pm 	24 	0 	John S Peters (P), Brian G Scholtens 	01/08-05/02 	LCTR 341 	 
22303 	BIOL 	102L 	07 	M 	0.000 	Concepts/Apps in Biol II Lab 	M 	04:30 pm-07:30 pm 	24 	0 	John S Peters (P), Brian G Scholtens 	01/08-05/02 	LCTR 341 	 
20118 	BIOL 	102L 	13 	M 	0.000 	Concepts/Apps in Biol II Lab 	T 	10:30 am-01:30 pm 	24 	0 	John S Peters (P), Brian G Scholtens 	01/08-05/02 	LCTR 341 	 
