"CRN","Subj","Crse","Sec","Cmp","Cred","Title","Days","Time","Cap","Rem","Instructor","Date (MM/DD)","Location","Attribute"
20109,"BIOL",101,1,"H",4,"Concepts/Apps in Biology I","TR","12:45 pm-02:00 pm",72,7,"Miranda Lynette McManus (P)","01/11-05/05","HWWE 213"," "
20110,"BIOL",101,2,"H",4,"Concepts/Apps in Biology I","MWF","01:30 pm-02:20 pm",80,22,"Bridget Joan Piculell (P)","01/11-05/05","HWWE 213"," "
20111,"BIOL",101,3,"H",4,"Concepts/Apps in Biology I","TR","08:30 am-09:45 am",28,5,"Miranda Lynette McManus (P)","01/11-05/05","HWWE 213"," "
20114,"BIOL","101L",5,"M",0,"Concepts/Apps in Biology I Lab","M","01:30 pm-04:30 pm",24,11,"Brian G Scholtens (P), Tracy Heather Coliano Hirsch , John S Peters ","01/11-05/05","LCTR 339"," "
20112,"BIOL","101L",7,"M",0,"Concepts/Apps in Biology I Lab","M","04:30 pm-07:30 pm",24,3,"Brian G Scholtens (P), John S Peters , Meghan Emily Reilly ","01/11-05/05","LCTR 339"," "
21483,"BIOL","101L",9,"M",0,"Concepts/Apps in Biology I Lab","M","07:30 pm-10:30 pm",24,9,"Brian G Scholtens (P), John S Peters , Meghan Emily Reilly ","01/11-05/05","LCTR 339"," "
20115,"BIOL","101L",15,"M",0,"Concepts/Apps in Biology I Lab","T","01:30 pm-04:30 pm",24,5,"Brian G Scholtens (P), Sarah Elizabeth Kell , John S Peters ","01/11-05/05","LCTR 339"," "
21484,"BIOL","101L",17,"M",0,"Concepts/Apps in Biology I Lab","T","04:30 pm-07:30 pm",24,0,"Brian G Scholtens (P), Sarah Elizabeth Kell , John S Peters ","01/11-05/05","LCTR 339"," "
23720,"BIOL","101L",23,"M",0,"Concepts/Apps in Biology I Lab","W","10:30 am-01:30 pm",24,9,"Brian G Scholtens (P), Rachel N Hawes , John S Peters ","01/11-05/05","LCTR 339"," "
20116,"BIOL","101L",25,"M",0,"Concepts/Apps in Biology I Lab","W","01:30 pm-04:30 pm",24,7,"Brian G Scholtens (P), Rachel N Hawes , John S Peters ","01/11-05/05","LCTR 339"," "
20113,"BIOL","101L",27,"M",0,"Concepts/Apps in Biology I Lab","W","04:30 pm-07:30 pm",24,1,"Brian G Scholtens (P), John S Peters , Meghan Emily Reilly ","01/11-05/05","LCTR 339"," "
20117,"BIOL",102,3,"H",4,"Concepts/Apps in Biology II","TR","03:05 pm-04:20 pm",130,1,"Heather Nicole Pritchard (P)","01/11-05/05","SSMB 129"," "
